course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: classes e heranças no desenvolvimento de aplicações com orientação a objetos;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java 8: conheça as novidades dessa versão;26;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: conhecendo o Browser e padrões de projeto;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: consumindo e tratando dados de uma API;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: criando requisições;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Pacman com Python e Pygame: cenário e ator;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
Go: desenvolvendo uma API Rest;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: de padrões a uma abordagem funcional;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: explorando a linguagem;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Data Science: analise e visualização de dados.;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: interfaces e Herança em Orientação a Objetos;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: manipulando o DOM;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: manipulando objetos;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: métodos de array;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Python: avançando na linguagem;5;0;0;;;;;;;;;;;;;;;;;;;;;;;
Go: crie uma aplicação web;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: objetos;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Android parte 2: boas práticas e novos cenários de testes;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: programação orientada a objetos;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java JRE e JDK: compile e execute o seu programa;2;1;1;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: programando a Orientação a Objetos;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
TDD no Django 3: Desenvolvimento guiado por testes;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: programando na linguagem da web;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
TDD e Java: testes automatizados com JUnit;0;4;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: projeto de conclusão;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
API com Django 3: Validações, buscas, filtros e deploy;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: salvando dados localmente com IndexedDB;48;0;0;;;;;;;;;;;;;;;;;;;;;;;
Python: boas práticas de código com PEP8;0;2;0;;;;;;;;;;;;;;;;;;;;;;;
Java: novidades e recursos das versões 9 a 14;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Django: persistência de dados e Admin;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java e java.io: Streams, Reader e Writers;4;3;1;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: trabalhando com threads para requisições simultâneas;48;0;0;;;;;;;;;;;;;;;;;;;;;;;
Python Collections parte 2: conjuntos e dicionários;1;23;0;;;;;;;;;;;;;;;;;;;;;;;
Flask: avançando no desenvolvimento web com Python;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
API com Django 3: Aprofundando em testes e documentação;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: validações e reconhecimento de voz;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript: validando formulários;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Microsserviços na prática: IaC com CDK e deploy na AWS;7;0;1;;;;;;;;;;;;;;;;;;;;;;;
API com Django 3: Django Rest Framework;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
Go: validações, testes e páginas HTML;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Persistência com JPA: Hibernate;0;3;0;;;;;;;;;;;;;;;;;;;;;;;
Layouts Android parte 1: criando telas com Constraint Layouts;4;0;1;;;;;;;;;;;;;;;;;;;;;;;
Spring Boot 3: desenvolva uma API Rest em Java;4;2;0;;;;;;;;;;;;;;;;;;;;;;;
Java Servlet: programação web Java;2;3;1;;;;;;;;;;;;;;;;;;;;;;;
jQuery: domine a biblioteca mais popular do mercado parte 1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
